id,route,page,area,widget,component,elementType,canonicalGroup,clusterId,label,accessibleName,ariaLabel,placeholder,href,action,eventHandlers,states,sourceFile,sourceLine,staticFound,runtimeFound,selector,role,visible,disabled,hasAccessibleName,hasStableTestId,needsAriaLabel,needsAnalyticsEvent,risk,matchStatus,probableDuplicate,potentiallyDead,unstableSelector,priorityScore,priorityLevel,priorityReasons,notes
ui.app.modalstackprovider.item-0.modal,/_app,_app,modal,ModalStackProvider,ModalStackProvider,modal,modal,cluster.modal-modal,,,,,,,,default|idle,frontend-gravity/pages/_app.tsx,129,true,false,,,,false,false,false,false,false,low,static-only,false,false,false,5,low,runtime crawl incomplete,
ui.legal.link.на-главную.link,/legal,Legal,main,Link,Link,link,link,cluster.link-на-главную-main,На главную,На главную,,,/,,,default|idle,frontend-gravity/pages/legal.tsx,66,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.legal.text.версия-документа-legal-v1-2026-04-29.button,/legal,Legal,main,Text,Text,button,button,cluster.button-версия-документа-legal-v1-2026-04-29-main,Версия документа: legal_v1_2026-04-29,Версия документа: legal_v1_2026-04-29,,,,,,default|idle,frontend-gravity/pages/legal.tsx,69,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student.loader.item-0.button,/student,Student,main,Loader,Loader,button,button,cluster.button-main,,,,,,,,default|idle,frontend-gravity/pages/student/index.tsx,92,true,false,,,,false,false,false,true,true,high,static-only,false,true,false,115,high,high a11y risk|missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student.text.мой-кабинет.button,/student,Student,main,Text,Text,button,button,cluster.button-мой-кабинет-main,Мой кабинет,Мой кабинет,,,,,,default|idle,frontend-gravity/pages/student/index.tsx,123,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student.button.выйти.button,/student,Student,main,Button,Button,button,button,cluster.button-выйти-main,Выйти,Выйти,,,,handleLogout,onClick,default|idle,frontend-gravity/pages/student/index.tsx,124,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student.text.error.button,/student,Student,main,Text,Text,button,button,cluster.button-error-main,error,error,,,,,,default|idle,frontend-gravity/pages/student/index.tsx,130,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student.text.у-вас-пока-нет-репетиторов-когда-вы-оставите-заявку-на-странице-репетитора-и-под.button,/student,Student,main,Text,Text,button,button,cluster.button-у-вас-пока-нет-репетиторов-когда-вы-оставите-заявку-на-странице-репетитора-и-подтвердите-почту-репетитор-появится,"У вас пока нет репетиторов. Когда вы оставите заявку на странице репетитора и подтвердите почту, репетитор появится здесь.","У вас пока нет репетиторов. Когда вы оставите заявку на странице репетитора и подтвердите почту, репетитор появится здесь.",,,,,,default|idle,frontend-gravity/pages/student/index.tsx,142,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student.text.не-удалось-загрузить-кабинет-ученика.button,/student,Student,main,Text,Text,button,button,cluster.button-не-удалось-загрузить-кабинет-ученика-main,Не удалось загрузить кабинет ученика,Не удалось загрузить кабинет ученика,,,,,,default|idle,frontend-gravity/pages/student/index.tsx,157,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student-setup.loader.item-0.button,/student/setup,Student Setup,main,Loader,Loader,button,button,cluster.button-main,,,,,,,,default|idle,frontend-gravity/pages/student/setup.tsx,186,true,false,,,,false,false,false,true,true,high,static-only,false,true,false,115,high,high a11y risk|missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.student-setup.textinput.иванов-пётр-сергеевич.input,/student/setup,Student Setup,main,TextInput,TextInput,input,input,cluster.input-иванов-пётр-сергеевич-main,Иванов Пётр Сергеевич,Иванов Пётр Сергеевич,,Иванов Пётр Сергеевич,,,,default|idle,frontend-gravity/pages/student/setup.tsx,221,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,5,low,runtime crawl incomplete,
ui.student-setup.textinput.item-2.input,/student/setup,Student Setup,main,TextInput,TextInput,input,input,cluster.input-main,,,,,,,,disabled|idle,frontend-gravity/pages/student/setup.tsx,231,true,false,,,,true,false,false,false,false,medium,static-only,false,false,false,35,low,medium a11y risk|runtime crawl incomplete,
ui.student-setup.textinput.11.input,/student/setup,Student Setup,main,TextInput,TextInput,input,input,cluster.input-11-main,11,11,,11,,,,default|idle,frontend-gravity/pages/student/setup.tsx,247,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,5,low,runtime crawl incomplete,
ui.student-setup.textinput.15.input,/student/setup,Student Setup,main,TextInput,TextInput,input,input,cluster.input-15-main,15,15,,15,,,,default|idle,frontend-gravity/pages/student/setup.tsx,255,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,5,low,runtime crawl incomplete,
ui.student-setup.textinput.иванова-мария-петровна.input,/student/setup,Student Setup,main,TextInput,TextInput,input,input,cluster.input-иванова-мария-петровна-main,Иванова Мария Петровна,Иванова Мария Петровна,,Иванова Мария Петровна,,,,default|idle,frontend-gravity/pages/student/setup.tsx,268,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,5,low,runtime crawl incomplete,
ui.student-setup.textinput.parent-email-com.input,/student/setup,Student Setup,main,TextInput,TextInput,input,input,cluster.input-parent-email-com-main,parent@email.com,parent@email.com,,parent@email.com,,,,default|idle,frontend-gravity/pages/student/setup.tsx,284,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,5,low,runtime crawl incomplete,
ui.student-setup.text.formerror.button,/student/setup,Student Setup,main,Text,Text,button,button,cluster.button-formerror-main,formError,formError,,,,,,default|idle,frontend-gravity/pages/student/setup.tsx,297,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,65,medium,missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.students-id.loader.item-0.button,/students/{id},Students Id,main,Loader,Loader,button,button,cluster.button-main,,,,,,,,default|idle,frontend-gravity/pages/students/[id].tsx,23,true,false,,,,false,false,false,true,true,high,static-only,false,true,false,115,high,high a11y risk|missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.t-slug-book.bookingpage.item-0.button,/t/{slug}/book,T Slug Book,booking,BookingPage,BookingPage,button,button,cluster.button-booking,,,,,,,,default|idle,frontend-gravity/pages/t/[slug]/book.tsx,9,true,false,,,,false,false,false,true,true,high,static-only,false,true,false,115,high,high a11y risk|missing stable testid|missing analytics event mapping|runtime match missing|runtime crawl incomplete,
ui.shared.text.предмет.button,/unknown,Index,main,Text,Text,button,button,cluster.button-предмет-main,Предмет *,Предмет *,,,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,191,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
ui.shared.textinput.математика.input,/unknown,Index,main,TextInput,TextInput,input,input,cluster.input-математика-main,Математика,Математика,,Математика,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,198,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,20,low,unknown route attribution|runtime crawl incomplete,
ui.shared.text.цена-за-час.button,/unknown,Index,main,Text,Text,button,button,cluster.button-цена-за-час-main,Цена за час,Цена за час,,,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,208,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
ui.shared.textinput.2100.input,/unknown,Index,main,TextInput,TextInput,input,input,cluster.input-2100-main,2100,2100,,2100,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,215,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,20,low,unknown route attribution|runtime crawl incomplete,
ui.shared.text.длительность-мин.button,/unknown,Index,main,Text,Text,button,button,cluster.button-длительность-мин-main,Длительность (мин),Длительность (мин),,,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,224,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
ui.shared.textinput.default-duration.input,/unknown,Index,main,TextInput,TextInput,input,input,cluster.input-default-duration-main,DEFAULT_DURATION,DEFAULT_DURATION,,DEFAULT_DURATION,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,231,true,false,,,,false,true,false,false,false,low,static-only,false,false,false,20,low,unknown route attribution|runtime crawl incomplete,
ui.shared.text.error.button,/unknown,Index,main,Text,Text,button,button,cluster.button-error-main,error,error,,,,,,default|idle,frontend-gravity/components/AddSubjectModal/index.tsx,241,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
ui.shared.icon.item-0.button,/unknown,Index,main,Icon,Icon,button,button,cluster.button-main,,,,,,,,default|idle,frontend-gravity/components/AnimatedSidebarIcon/index.tsx,169,true,false,,,,false,false,false,true,true,high,static-only,true,true,false,138,high,high a11y risk|missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|probable duplicate|runtime crawl incomplete,
ui.shared.text.row-title.button,/unknown,Index,main,Text,Text,button,button,cluster.button-row-title-main,row.title,row.title,,,,,,default|idle,frontend-gravity/components/CancelPolicyBlock/index.tsx,76,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
ui.shared.label.row-value.button,/unknown,Index,main,Label,Label,button,button,cluster.button-row-value-main,row.value,row.value,,,,,,default|idle,frontend-gravity/components/CancelPolicyBlock/index.tsx,80,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
ui.shared.text.предпочтительный-способ-оплаты.button,/unknown,Index,main,Text,Text,button,button,cluster.button-предпочтительный-способ-оплаты-main,Предпочтительный способ оплаты:,Предпочтительный способ оплаты:,,,,,,default|idle,frontend-gravity/components/CancelPolicyBlock/index.tsx,87,true,false,,,,false,true,false,false,true,low,static-only,false,true,false,80,high,missing stable testid|missing analytics event mapping|unknown route attribution|runtime match missing|runtime crawl incomplete,
